Month,Team,Expansion_ARR,Contraction_ARR,Lost_ARR,Expansion_Count,Contraction_Count,Lost_Count,Net_ARR_Movement,Avg_Lost_ARR_per_Customer
Jan,Region A,0,-176,7400,0,1,4,-7576,1850.0
Jan,Region B,0,-5552,18500,0,4,10,-24052,1850.0
Jan,Region C,4572,-5828,70700,3,7,35,-71956,2020.0
Jan,Region D,1048,-1342,20500,2,3,9,-20794,2278.0
Feb,Region A,1000,0,21500,2,0,12,-20500,1792.0
Feb,Region B,0,-876,10800,0,1,8,-11676,1350.0
Feb,Region C,800,-4980,61200,1,6,38,-65380,1611.0
Feb,Region D,0,-3478,13300,0,4,10,-16778,1330.0
Mar,Region A,2370,-1052,14800,2,2,8,-13482,1850.0
Mar,Region B,524,0,15500,1,0,8,-14976,1938.0
Mar,Region C,700,-2764,42800,1,2,25,-44864,1712.0
Mar,Region D,0,0,16800,0,0,7,-16800,2400.0
Apr,Region A,600,0,16200,2,0,8,-15600,2025.0
Apr,Region B,0,-6028,16500,0,4,11,-22528,1500.0
Apr,Region C,0,-500,54400,0,1,34,-54900,1600.0
Apr,Region D,0,-176,6700,0,1,4,-6876,1675.0
